"dte","collectionid","collectionname","marketcupusd"
2021-12-17,1,MutantApeYachtClub,2066009.8758988006
2021-12-17,504,BoredApeYachtClub,3438825.39
2021-12-18,1,MutantApeYachtClub,1990922.0780000002
2021-12-18,504,BoredApeYachtClub,2239238.0160000003
2021-12-19,1,MutantApeYachtClub,1076299.4400000002
2021-12-19,504,BoredApeYachtClub,3282611.68998
2021-12-20,1,MutantApeYachtClub,2038416.5430999997
2021-12-20,504,BoredApeYachtClub,2258738.68
2021-12-21,1,MutantApeYachtClub,3163982.0069999998
2021-12-21,504,BoredApeYachtClub,2861457.995
2021-12-22,1,MutantApeYachtClub,4439742.1415800005
2021-12-22,504,BoredApeYachtClub,4588412.18
2021-12-23,1,MutantApeYachtClub,8154774.874286003
2021-12-23,504,BoredApeYachtClub,4782758.2162
2021-12-24,1,MutantApeYachtClub,7713558.841320001
2021-12-24,504,BoredApeYachtClub,5245649.23
2021-12-25,1,MutantApeYachtClub,5689297.021399999
2021-12-25,504,BoredApeYachtClub,5295910.363600002
2021-12-26,1,MutantApeYachtClub,18916733.579621907
2021-12-26,504,BoredApeYachtClub,6650815.0
2021-12-27,1,MutantApeYachtClub,20682834.475418005
2021-12-27,504,BoredApeYachtClub,6422788.450000001
2021-12-28,1,MutantApeYachtClub,7024082.112671999
2021-12-28,504,BoredApeYachtClub,8392656.843500001
2021-12-29,1,MutantApeYachtClub,8680216.150150001
2021-12-29,504,BoredApeYachtClub,5458776.9
2021-12-30,1,MutantApeYachtClub,7539611.713187112
2021-12-30,504,BoredApeYachtClub,8099111.20356
2021-12-31,1,MutantApeYachtClub,7103717.840500001
2021-12-31,504,BoredApeYachtClub,7937793.300000001
2022-01-01,1,MutantApeYachtClub,17650193.5492688
2022-01-01,504,BoredApeYachtClub,24829165.7225972
2022-01-02,1,MutantApeYachtClub,26461996.356792
2022-01-02,504,BoredApeYachtClub,19195891.3256
2022-01-03,1,MutantApeYachtClub,22285487.917600006
2022-01-03,504,BoredApeYachtClub,16466899.3697
2022-01-04,1,MutantApeYachtClub,9067361.648508962
2022-01-04,504,BoredApeYachtClub,7221865.74
2022-01-05,1,MutantApeYachtClub,8836719.764400002
2022-01-05,504,BoredApeYachtClub,6000292.859300001
2022-01-06,1,MutantApeYachtClub,6168023.583589999
2022-01-06,504,BoredApeYachtClub,6815926.764959
2022-01-07,1,MutantApeYachtClub,5038002.91075
